species,clonality,height,GF,lifespan,cotyledon,latitude,longitude,altitude,SR,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,aridity,NPP,bd,ph,soc,tn
Acacia_amblyophylla,0,4,W,Perennial,Eudicot,-26.56666667,113.6740227,23,21.1635,21.6666663885117,11.728797078132601,50.14914897381,409.067074718078,33.126522064208956,9.718916893005371,23.456069469451897,17.755374511082948,24.3430554072062,26.79630120595295,16.64975849787395,303,72,2,94.7899526363266,189,12,29,174,0.17575000000000002,298.3,1.29999995231628,7.19999980926514,30.3999996185303,1.60000002384186
Acacia_amentifera,0,NA,W,Perennial,Eudicot,-16.498593155000002,130.66790525,113,22.0149166666667,27.2094996372859,15.1109991868337,58.7610825180628,407.253536074188,38.8359985351562,13.1199998855591,25.7159986495972,29.9899997711182,23.3133330345154,31.2799994150798,21.4019999504089,731,180,2,113.641920154823,506,14,316,18,0.3326,192.6,1.39999997615814,6.90000009536743,10.3000001907349,0.800000011920929
Acacia_ammobia,0,7,W,Perennial,Eudicot,-25.349722,131.3333,551,21.8379166666667,21.3758332530657,15.7586665550868,46.9488193924702,652.181293476153,37.3839988708496,3.79999995231628,33.5839989185333,28.4340000152588,14.6646666924159,28.9466663996379,12.8106663227081,295,42,10,46.2074568491104,124,35,107,38,0.1574,103.5,1.29999995231628,7.59999990463257,11.3999996185303,0.400000005960464
Acacia_ammophila,0,6,W,Perennial,Eudicot,-28.0833,144.2008,142,20.337,21.783166607221,12.9830006758372,42.8936792620002,632.691734255653,36.0919990539551,5.83200025558472,30.2799983024597,28.5273329416911,15.2806666692098,29.3159993489583,13.6300001144409,334,53,15,40.6146697616596,128,50,125,51,0.1772,99.2,1.29999995231628,7,12.1999998092651,0.600000023841858
Acacia_amoena,0,4,W,Perennial,Eudicot,-36.5,148.6667,528,16.5749166666667,13.0588333730896,10.6020000676314,44.6645156490493,469.848313494508,24.1480007171631,0.467999994754791,23.6000002622604,16.5339999198914,9.9753334124883,18.8880001703898,7.19266662995021,757,85,46,17.2398449042653,232,148,201,159,0.7005,821.9,1.10000002384186,5.5,59.2000007629395,3.20000004768372
Acacia_ampliata,0,5,W,Perennial,Eudicot,-27.8,115.5,283,20.71716666666665,20.9420001109441,13.9890003403028,47.11445890081495,587.135792886103,34.94447708129885,4.717999935150145,29.916000843048103,15.1306665738424,23.663761854171753,28.163000424703,13.61133309205375,293.5,47.5,7,58.233184320764195,129.5,25,53,121,0.17165,212.25,1.29999995231628,6.850000143051145,12.5,0.75
Acacia_ampliceps,0,9,W,Perennial,Eudicot,-19.16666667,126.13,204,22.376,26.7781250476837,14.7513333161672,53.9795847179458,438.177346456406,38.7840003967285,12.1719999313354,26.7079992294312,30.3586664199829,23.2973333994548,31.1986665725708,20.7733335494995,482,133,1,110.695773407676,325,8,224,15,0.2259,104.3,1.39999997615814,7.09999990463257,9.39999961853027,0.600000023841858
Acacia_amputata,0,0.6,W,Perennial,Eudicot,-33.18972222,118.4333,280,18.6374166666667,16.1390000979106,11.736332933108,50.398601033541,454.532673889861,28.0839996337891,3.18400001525879,25.3039996623993,11.6526664892832,21.9166668256124,21.9166668256124,10.7773332595825,388,50,13,40.4984494577317,142,52,52,142,0.2958,526.5,1.20000004768372,6.450000047683715,24.05000019073485,1.0500000119209298
Acacia_amyctica,0,1.5,W,Perennial,Eudicot,-33,121.2,242.5,18.3918333333333,16.2038332223892,13.0303332805634,52.6010545835428,421.147583657883,27.7880001068115,3.01600003242493,24.7720000743866,11.9860002994537,21.2819999059041,21.2819999059041,10.9619998137156,311,39,14,30.5006827650091,109,50,50,106,0.2986,507.7,1.20000004768372,7.15000009536743,22.1999998092651,1.15000003576279
Acacia_anarthros,0,0.5,W,Perennial,Eudicot,-31.2,116.2,294,20.0234166666667,17.6966666380564,12.2626665433248,47.3681494820146,513.317850928424,29.8159999847412,3.92799997329712,25.8880000114441,11.9853335221608,23.9620000521342,24.2279996871948,11.9353334108988,570,107,10,73.7698105373361,293,40,51,249,0.4109,561.5,1.20000004768372,6.19999980926514,33.2999992370605,1.60000002384186
